,0
0,1
1,4
2,-1
3,6
4,6
5,1
6,5
7,6
8,8
9,1
10,2
11,6
12,6
13,6
14,2
15,6
16,8
17,4
18,-1
19,4
20,8
21,6
22,7
23,4
24,6
25,4
26,5
27,7
28,-1
29,6
30,7
31,-1
32,6
33,-1
34,8
35,-1
36,5
37,-1
38,7
39,6
40,6
41,-1
42,7
43,7
44,-1
45,-1
46,6
47,6
48,6
49,5
50,-1
51,-1
52,7
53,6
54,6
55,8
56,7
57,6
58,1
59,-1
60,6
61,6
62,8
63,4
64,4
65,-1
66,-1
67,-1
68,8
69,-1
70,4
71,4
72,1
73,5
74,9
75,2
76,8
77,1
78,8
79,3
80,6
81,5
82,6
83,-1
84,-1
85,8
86,3
87,8
88,6
89,8
90,-1
91,5
92,4
93,7
94,8
95,-1
96,-1
97,8
98,-1
99,6
100,9
101,5
102,5
103,7
104,7
105,4
106,-1
107,7
108,1
109,4
110,7
111,-1
112,2
113,6
114,4
115,5
116,6
117,4
118,-1
119,6
120,7
121,6
122,1
123,5
124,1
125,4
126,4
127,6
128,2
129,3
130,2
131,6
132,5
133,7
134,-1
135,7
136,8
137,6
138,5
139,8
140,6
141,6
142,-1
143,9
144,5
145,4
146,-1
147,6
148,-1
149,6
150,-1
151,7
152,4
153,-1
154,9
155,6
156,4
157,9
158,5
159,6
160,-1
161,6
162,-1
163,6
164,5
165,7
166,-1
167,4
168,-1
169,6
170,8
171,5
172,-1
173,7
174,-1
175,-1
176,5
177,6
178,5
179,-1
180,6
181,-1
182,8
183,8
184,6
185,3
186,4
187,2
188,8
189,5
190,6
191,5
192,9
193,-1
194,-1
195,7
196,6
197,6
198,-1
199,1
200,7
201,-1
202,6
203,6
204,6
205,5
206,1
207,-1
208,9
209,6
210,4
211,4
212,7
213,7
214,6
215,-1
216,7
217,6
218,9
219,7
220,9
221,6
222,6
223,-1
224,6
225,-1
226,2
227,4
228,7
229,6
230,6
231,-1
232,6
233,6
234,-1
235,1
236,4
237,4
238,4
239,6
240,-1
241,-1
242,6
243,6
244,-1
245,9
246,7
247,6
248,-1
249,8
250,7
251,3
252,-1
253,-1
254,9
255,5
256,2
257,6
258,9
259,3
260,-1
261,-1
262,9
263,4
264,8
265,4
266,5
267,7
268,-1
269,5
270,1
271,1
272,7
273,-1
274,-1
275,6
276,-1
277,-1
278,2
279,6
280,7
281,4
282,8
283,7
284,8
285,7
286,7
287,5
288,-1
289,-1
290,2
291,7
292,6
293,8
294,9
295,6
296,6
297,-1
298,9
299,3
300,5
301,7
302,-1
303,6
304,4
305,6
306,5
307,6
308,-1
309,-1
310,7
311,-1
312,-1
313,-1
314,6
315,7
316,6
317,6
318,6
319,6
320,-1
321,2
322,-1
323,-1
324,8
325,7
326,5
327,7
328,6
329,4
