,0
0,1
1,2
2,-1
3,3
4,3
5,1
6,4
7,3
8,4
9,1
10,1
11,3
12,3
13,3
14,1
15,3
16,4
17,2
18,-1
19,2
20,4
21,3
22,3
23,2
24,3
25,2
26,3
27,3
28,-1
29,3
30,3
31,-1
32,3
33,-1
34,4
35,-1
36,3
37,-1
38,3
39,3
40,3
41,-1
42,3
43,3
44,-1
45,-1
46,3
47,3
48,3
49,4
50,-1
51,-1
52,3
53,3
54,3
55,4
56,3
57,3
58,1
59,-1
60,3
61,3
62,4
63,2
64,2
65,-1
66,-1
67,-1
68,4
69,-1
70,2
71,2
72,1
73,3
74,-1
75,1
76,4
77,1
78,4
79,2
80,3
81,3
82,3
83,-1
84,-1
85,4
86,2
87,4
88,3
89,4
90,-1
91,3
92,2
93,3
94,4
95,-1
96,-1
97,4
98,-1
99,3
100,-1
101,4
102,3
103,3
104,3
105,2
106,-1
107,3
108,1
109,2
110,3
111,-1
112,1
113,3
114,2
115,3
116,3
117,2
118,-1
119,3
120,3
121,3
122,1
123,3
124,1
125,2
126,2
127,3
128,1
129,2
130,1
131,3
132,3
133,3
134,-1
135,3
136,4
137,3
138,3
139,4
140,3
141,3
142,-1
143,-1
144,4
145,2
146,-1
147,3
148,-1
149,3
150,-1
151,3
152,2
153,-1
154,-1
155,3
156,2
157,-1
158,4
159,3
160,-1
161,3
162,-1
163,3
164,3
165,3
166,-1
167,2
168,-1
169,3
170,4
171,3
172,-1
173,3
174,-1
175,-1
176,3
177,3
178,3
179,-1
180,3
181,-1
182,4
183,4
184,3
185,2
186,2
187,1
188,4
189,3
190,3
191,3
192,-1
193,-1
194,-1
195,3
196,3
197,3
198,-1
199,1
200,3
201,-1
202,3
203,3
204,3
205,3
206,1
207,-1
208,-1
209,3
210,2
211,2
212,3
213,3
214,3
215,-1
216,3
217,3
218,-1
219,3
220,-1
221,3
222,3
223,-1
224,3
225,-1
226,1
227,2
228,3
229,3
230,3
231,-1
232,3
233,3
234,-1
235,1
236,2
237,2
238,2
239,3
240,-1
241,-1
242,3
243,3
244,-1
245,-1
246,3
247,3
248,-1
249,4
250,3
251,2
252,-1
253,-1
254,-1
255,3
256,1
257,3
258,-1
259,2
260,-1
261,-1
262,-1
263,2
264,4
265,2
266,3
267,3
268,-1
269,3
270,1
271,1
272,3
273,-1
274,-1
275,3
276,-1
277,-1
278,1
279,3
280,3
281,2
282,4
283,3
284,4
285,3
286,3
287,3
288,-1
289,-1
290,1
291,3
292,3
293,4
294,-1
295,3
296,3
297,-1
298,-1
299,2
300,3
301,3
302,-1
303,3
304,2
305,3
306,3
307,3
308,-1
309,-1
310,3
311,-1
312,-1
313,-1
314,3
315,3
316,3
317,3
318,3
319,3
320,-1
321,1
322,-1
323,-1
324,4
325,3
326,3
327,3
328,3
329,2
330,2
331,-1
332,1
333,3
334,3
335,-1
336,3
337,4
338,2
339,3
340,2
341,-1
342,3
343,1
344,-1
345,2
346,4
347,-1
348,3
349,3
350,2
351,-1
352,3
353,3
354,3
355,3
356,-1
357,-1
358,-1
359,2
360,-1
361,1
362,3
363,3
364,3
365,3
366,2
367,3
368,3
369,1
370,3
371,1
372,3
373,3
374,2
375,3
376,2
377,3
378,-1
379,-1
380,3
381,3
382,3
383,3
384,2
385,3
386,3
387,3
388,-1
389,3
390,3
391,3
392,2
393,2
394,3
395,1
396,3
397,3
398,4
399,2
400,3
401,3
402,1
403,4
404,3
405,3
406,2
407,-1
408,4
409,-1
410,3
411,-1
412,1
413,4
414,4
415,3
416,2
417,3
418,1
419,3
420,3
421,-1
422,3
423,-1
424,3
425,3
426,3
427,-1
428,-1
429,-1
430,3
431,-1
432,2
433,4
434,3
435,2
436,3
437,-1
438,-1
439,-1
440,1
441,3
442,3
443,-1
444,3
445,2
446,3
447,2
448,4
449,-1
450,3
451,-1
452,2
453,3
454,3
455,-1
456,3
457,4
458,-1
459,3
460,1
461,3
462,3
463,2
464,-1
465,-1
466,-1
467,2
468,3
469,3
470,3
471,1
472,3
473,3
474,4
475,2
476,-1
477,3
478,-1
479,-1
480,4
481,3
482,-1
483,4
484,4
485,-1
486,4
487,3
488,3
489,3
490,3
491,3
492,1
493,3
494,3
495,4
496,4
497,2
498,3
499,4
500,-1
501,2
502,3
503,1
504,1
505,2
506,3
507,-1
508,-1
509,-1
510,3
511,-1
512,1
513,3
514,4
515,-1
516,4
517,3
518,4
519,3
520,3
521,4
522,4
523,-1
524,1
525,-1
526,2
527,-1
528,4
529,1
530,3
531,4
532,2
533,3
534,3
535,3
536,3
537,-1
538,-1
539,3
540,3
541,3
542,3
543,4
544,3
545,3
546,1
547,4
548,-1
549,3
550,3
551,3
552,1
553,-1
554,1
555,3
556,3
557,2
558,-1
559,3
560,3
561,-1
562,-1
563,-1
564,1
565,-1
566,-1
567,-1
568,4
569,1
570,-1
571,3
572,3
573,4
574,3
575,3
576,4
577,3
578,3
579,-1
580,3
581,-1
582,3
583,-1
584,-1
585,-1
586,2
587,3
588,3
589,1
590,3
591,3
592,-1
593,-1
594,2
595,-1
596,-1
597,2
598,2
599,3
600,-1
601,3
602,1
603,4
604,4
605,-1
606,-1
607,-1
608,3
609,2
610,2
611,-1
612,3
613,3
614,2
615,-1
616,3
617,3
618,3
619,3
620,4
621,4
622,3
623,4
624,-1
625,3
626,3
627,2
628,3
629,-1
630,3
631,-1
632,-1
633,-1
634,-1
635,3
636,3
637,3
638,1
639,2
640,3
641,3
642,3
643,2
644,-1
645,3
646,3
647,3
648,-1
649,2
650,3
651,3
652,3
653,2
654,-1
655,3
656,2
657,4
658,1
659,2
660,3
661,4
662,-1
663,4
664,-1
665,-1
666,1
667,4
668,3
669,-1
670,-1
671,3
672,-1
673,-1
674,3
675,3
676,-1
677,3
678,4
679,3
680,-1
681,4
682,2
683,3
684,-1
685,3
686,1
687,1
688,-1
689,-1
690,4
691,-1
692,3
693,-1
694,3
695,-1
696,3
697,1
698,-1
699,3
700,4
701,4
702,2
703,2
704,3
705,-1
706,-1
707,4
708,-1
709,-1
710,2
711,1
712,3
713,3
714,1
715,4
716,-1
717,1
718,3
719,-1
720,2
721,-1
722,2
723,3
724,3
725,3
726,4
727,1
728,3
729,4
730,4
731,-1
732,3
733,1
734,3
735,3
736,3
737,2
738,4
739,4
740,2
741,2
742,1
743,3
744,3
745,-1
746,4
747,3
748,-1
749,3
750,4
751,1
752,3
753,-1
754,3
755,3
756,2
757,2
758,-1
759,-1
760,3
761,3
762,2
763,3
764,2
765,3
766,2
767,2
768,-1
769,-1
770,3
771,3
772,3
773,1
774,3
775,3
776,2
777,3
778,3
779,3
780,2
781,-1
782,3
783,3
784,3
785,2
786,2
787,3
788,-1
789,4
790,-1
791,1
792,-1
793,3
794,3
795,3
796,-1
797,1
798,3
799,4
800,-1
801,1
802,-1
803,1
804,3
805,3
806,2
807,2
808,-1
809,4
810,1
811,2
812,-1
813,2
814,-1
815,1
816,2
817,-1
818,3
819,2
820,-1
821,3
822,2
823,3
824,3
825,4
826,-1
827,-1
828,-1
829,-1
830,3
831,4
832,1
833,-1
834,3
835,2
836,1
837,3
838,3
839,4
840,3
841,4
842,-1
843,-1
844,3
845,1
846,-1
847,-1
848,-1
849,4
850,1
851,3
852,3
853,-1
854,3
855,4
856,-1
857,-1
858,-1
859,1
860,1
861,2
862,4
863,1
864,-1
865,1
866,4
867,-1
868,3
869,3
870,-1
871,4
872,1
873,2
874,3
875,4
876,-1
877,-1
878,-1
879,2
880,3
881,1
882,2
883,-1
884,4
885,4
886,-1
887,4
888,3
889,3
890,-1
891,3
892,3
893,1
894,-1
895,-1
896,-1
897,-1
898,2
899,-1
900,-1
901,2
902,4
