,name
0,4
1,2
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,2
10,2
11,4
12,5
13,4
14,1
15,4
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,3
24,2
25,2
26,2
27,3
28,4
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,2
43,1
44,4
45,1
46,4
47,3
48,1
49,4
50,5
51,5
52,3
53,3
54,3
55,3
56,1
57,2
58,2
59,1
60,1
61,1
62,1
63,5
64,3
65,4
66,2
67,4
68,3
69,5
70,5
71,5
72,4
73,4
74,5
75,5
76,5
77,5
78,3
79,3
80,2
81,2
82,2
83,4
84,4
85,4
86,4
87,4
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,4
96,3
97,5
98,5
99,3
100,3
101,4
102,1
103,3
104,2
105,2
106,2
107,1
108,2
109,4
110,4
111,5
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,5
123,4
124,5
125,4
126,4
127,5
128,5
129,4
130,4
131,3
132,3
133,5
134,5
135,5
136,5
137,4
138,4
139,4
140,4
141,5
142,3
143,4
144,4
145,4
146,5
147,4
148,5
149,4
150,4
151,3
152,5
153,5
154,3
155,3
156,3
157,1
158,1
159,2
160,2
161,4
162,4
163,3
164,3
165,4
166,4
167,1
168,1
169,4
170,4
171,1
172,3
173,4
174,1
175,4
176,1
177,2
178,1
179,1
180,1
181,1
182,1
183,4
184,4
185,1
186,3
187,3
188,2
189,3
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,5
201,5
202,4
203,3
204,5
205,3
206,3
207,1
208,1
209,1
210,1
211,2
212,4
213,5
214,3
215,4
216,4
217,5
218,5
219,5
220,4
221,2
222,2
223,2
224,5
225,5
226,4
227,5
228,5
229,5
230,4
231,4
232,4
233,4
234,5
235,4
236,5
237,4
238,4
239,5
240,5
241,4
242,4
243,2
244,2
245,3
246,5
247,4
248,4
249,5
250,4
251,4
252,4
253,4
254,4
255,3
256,3
257,2
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,3
307,2
308,2
309,2
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,3
344,5
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,3
354,3
355,3
356,1
357,5
358,4
359,3
360,2
361,5
362,5
363,5
364,5
365,5
366,5
367,5
368,4
369,4
370,3
371,2
372,4
373,4
374,3
375,3
376,3
377,5
378,4
379,3
380,3
381,5
382,4
383,2
384,3
385,4
386,5
387,3
388,4
389,4
390,4
391,4
392,4
393,2
394,4
395,2
396,3
397,3
398,4
399,3
400,5
401,1
402,1
403,1
404,1
405,4
406,4
407,4
408,5
409,4
410,2
411,2
412,2
413,5
414,4
415,4
416,3
417,5
418,5
419,1
420,1
421,1
422,1
423,4
424,3
425,5
426,5
427,5
428,5
429,5
430,5
431,5
432,5
433,3
434,3
435,5
436,4
437,4
438,4
439,4
440,4
441,3
442,4
443,4
444,4
445,1
446,1
447,1
448,1
449,1
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,4
458,5
459,4
460,1
461,1
462,3
463,5
464,3
465,4
466,5
467,5
468,4
469,4
470,4
471,4
472,4
473,3
474,3
475,5
476,5
477,1
478,1
479,2
480,4
481,5
482,5
483,5
484,5
485,5
486,5
487,5
488,4
489,3
490,3
491,3
492,3
493,1
494,1
495,1
496,1
497,1
498,3
499,5
500,4
501,2
502,4
503,4
504,1
505,4
506,2
507,3
508,5
509,5
510,5
511,4
512,4
513,4
514,4
515,5
516,4
517,5
518,3
519,5
520,4
521,4
522,4
523,3
524,5
525,4
526,4
527,1
528,4
529,4
530,5
531,4
532,5
533,4
534,4
535,4
536,4
537,4
538,4
539,4
540,4
541,5
542,5
543,5
544,2
545,2
546,4
547,4
548,2
549,2
550,4
551,4
552,2
553,3
554,4
555,3
556,5
557,5
558,5
559,4
560,4
561,4
562,5
563,5
564,4
565,4
566,5
567,2
568,3
569,5
570,4
571,5
572,5
573,5
574,2
575,2
576,2
577,5
578,4
579,4
580,4
581,3
582,5
583,2
584,2
585,2
586,2
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,1
596,1
597,3
598,3
599,3
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,5
649,5
650,4
651,5
652,4
653,5
654,4
655,1
656,1
657,1
658,1
659,1
660,5
661,3
662,4
663,4
664,5
665,5
666,5
667,5
668,5
669,5
670,5
671,4
672,4
673,1
674,5
675,5
676,5
677,3
678,3
679,3
680,4
681,4
682,4
683,5
684,4
685,4
686,4
687,2
688,2
689,4
690,2
691,3
692,3
693,5
694,5
695,5
696,5
697,5
