,0,1,2,3,4
0,1,170,110,27,7
1,1,210,200,30,1
2,2,105,105,100,2
3,2,135,110,110,5
4,3,208,140,18,5
5,3,90,90,75,1
6,5,250,190,53,3
7,6,140,140,48,2
8,6,225,80,35,2
9,7,292,166,87,1
10,8,228,148,26,2
11,9,154,117,20,1
12,12,230,80,20,2
13,15,90,85,25,2
14,18,160,120,40,5
15,19,115,115,50,1
16,22,188,124,50,5
17,23,155,101,70,1
18,23,208,142,30,1
19,23,140,131,130,1
20,24,255,105,53,3
21,25,290,190,60,3
22,25,182,153,25,1
23,26,247,175,53,2
24,26,250,170,45,1
25,26,296,206,59,1
26,26,169,169,106,2
27,27,292,192,43,3
28,27,280,195,30,2
29,28,246,208,40,5
30,29,297,183,122,6
31,30,102,96,48,3
32,33,230,80,20,1
33,33,260,78,35,1
34,33,230,130,45,2
35,36,120,110,10,1
36,36,144,108,8,1
37,37,135,90,78,4
38,38,120,68,20,3
39,38,143,143,42,1
40,38,218,106,35,1
41,39,190,125,92,8
42,40,110,100,80,1
43,40,173,129,129,1
44,41,200,135,60,1
45,41,200,135,60,1
46,41,160,115,53,1
47,41,158,113,50,1
48,41,158,112,50,3
49,41,290,195,70,2
50,43,140,132,110,1
51,43,150,80,70,1
52,43,245,135,70,1
53,44,185,140,60,1
54,44,305,210,60,3
55,44,220,70,25,2
56,44,165,70,10,5
57,44,230,140,50,2
58,44,225,132,66,2
59,44,208,145,105,2
60,44,151,145,110,1
61,44,266,116,96,2
62,45,230,150,45,3
63,46,244,180,112,2
64,48,190,125,92,8
65,49,180,120,35,3
66,50,138,70,70,2
67,50,176,67,67,2
68,50,198,161,30,2
69,50,257,130,81,1
70,51,265,177,45,2
71,52,200,165,55,2
72,53,268,153,60,21
73,54,140,88,88,4
74,55,190,125,92,8
75,56,235,233,75,2
76,57,250,180,5,2
77,57,185,150,50,1
78,60,65,60,20,3
79,61,114,76,76,2
80,62,98,70,70,2
81,64,105,105,65,1
82,64,176,123,35,4
83,64,155,100,18,2
84,65,256,195,65,2
85,65,235,110,56,1
86,65,223,125,120,1
87,65,200,165,58,1
88,65,255,180,5,1
89,65,220,74,30,1
90,65,180,150,25,1
91,66,230,40,30,2
92,66,260,230,75,2
93,67,265,190,73,8
94,67,85,60,12,20
95,68,175,175,96,1
96,68,247,154,121,1
97,68,300,195,65,1
