,0,1,2,3,4
0,1,170,110,27,7
1,2,105,105,100,2
2,2,135,110,110,5
3,3,208,140,18,5
4,3,90,90,75,1
5,5,250,190,53,3
6,6,140,140,48,2
7,6,225,80,35,2
8,7,292,166,87,1
9,8,228,148,26,2
10,9,154,117,20,1
11,12,230,80,20,2
12,15,90,85,25,2
13,18,160,120,40,5
14,19,115,115,50,1
15,22,188,124,50,5
16,23,155,101,70,1
17,23,208,142,30,1
18,23,140,131,130,1
19,24,255,105,53,3
20,25,290,190,60,3
21,25,182,153,25,1
22,26,247,175,53,2
23,26,250,170,45,1
24,26,169,169,106,2
25,27,292,192,43,3
26,27,280,195,30,2
27,29,297,183,122,6
28,30,102,96,48,3
29,33,230,80,20,1
30,33,260,78,35,1
31,33,230,130,45,2
32,36,120,110,10,1
33,36,144,108,8,1
34,37,135,90,78,4
35,38,120,68,20,3
36,38,143,143,42,1
37,38,218,106,35,1
38,39,190,125,92,8
39,40,110,100,80,1
40,40,173,129,129,1
41,41,200,135,60,1
42,41,200,135,60,1
43,41,160,115,53,1
44,41,158,113,50,1
45,41,158,112,50,3
46,41,290,195,70,2
47,43,140,132,110,1
48,43,150,80,70,1
49,43,245,135,70,1
50,44,185,140,60,1
51,44,220,70,25,2
52,44,165,70,10,5
53,44,230,140,50,2
54,44,225,132,66,2
55,44,208,145,105,2
56,44,151,145,110,1
57,44,266,116,96,2
58,45,230,150,45,3
59,46,244,180,112,2
60,48,190,125,92,8
61,49,180,120,35,3
62,50,138,70,70,2
63,50,176,67,67,2
64,50,198,161,30,2
65,50,257,130,81,1
66,51,265,177,45,2
67,52,200,165,55,2
68,53,268,153,60,21
69,54,140,88,88,4
70,55,190,125,92,8
71,57,250,180,5,2
72,57,185,150,50,1
73,60,65,60,20,3
74,61,114,76,76,2
75,62,98,70,70,2
76,64,105,105,65,1
77,64,176,123,35,4
78,64,155,100,18,2
79,65,256,195,65,2
80,65,235,110,56,1
81,65,223,125,120,1
82,65,200,165,58,1
83,65,255,180,5,1
84,65,220,74,30,1
85,65,180,150,25,1
86,66,230,40,30,2
87,67,265,190,73,8
88,67,85,60,12,20
89,68,175,175,96,1
90,68,247,154,121,1
91,68,290,169,50,1
92,68,224,164,10,2
93,68,220,133,70,1
94,68,262,178,63,1
95,68,210,153,40,2
96,69,210,195,38,2
97,70,238,122,73,8
98,72,190,130,130,2
99,73,235,110,56,14
100,74,228,170,32,1
101,74,210,160,36,1
102,74,195,102,40,2
103,74,202,147,30,1
104,75,245,107,65,1
105,75,254,186,51,2
106,80,250,172,58,1
107,80,157,155,70,2
108,80,160,150,50,3
109,82,190,96,60,6
110,83,210,140,70,1
111,85,190,96,60,6
112,86,160,150,40,5
113,86,250,190,50,2
114,87,203,140,23,10
115,89,175,165,140,2
116,89,170,140,130,2
117,92,150,80,68,2
118,92,79,69,65,1
119,98,140,87,20,3
120,99,130,105,60,2
121,100,233,174,52,2
122,101,85,60,12,6
123,101,176,147,42,5
124,104,255,177,55,2
125,105,160,109,40,2
126,107,257,153,30,2
127,108,245,158,20,2
128,108,125,115,10,1
129,108,221,158,50,1
130,110,265,184,20,2
131,110,125,92,92,2
132,111,208,140,18,1
133,111,140,40,10,5
134,112,70,55,20,3
135,114,160,80,35,3
136,115,165,86,44,4
137,116,205,145,40,4
138,117,133,114,8,2
139,119,178,130,130,2
140,120,145,91,91,2
141,120,140,70,80,2
142,122,156,155,40,2
143,122,190,105,87,2
144,123,260,165,72,1
145,123,257,153,56,1
146,124,225,95,80,4
147,124,225,86,79,2
148,126,225,95,80,2
149,126,225,86,79,3
150,128,265,160,150,1
151,129,210,158,50,2
152,129,255,187,55,2
153,130,133,106,53,1
154,130,195,144,43,1
155,130,240,110,60,2
156,130,120,105,55,2
157,130,190,145,50,2
158,130,236,172,55,1
159,131,145,95,95,4
160,132,215,60,60,3
161,132,160,116,50,4
162,132,130,130,46,1
163,134,290,195,60,1
164,135,194,84,84,1
165,136,255,155,155,1
166,136,270,195,65,2
167,137,223,125,120,1
168,137,259,183,42,1
169,138,220,175,45,2
170,138,239,176,45,1
171,138,200,150,65,1
172,140,160,67,67,6
173,141,198,157,38,16
174,142,185,175,100,2
175,144,204,148,38,2
176,144,204,48,15,2
177,144,205,150,20,2
178,144,245,107,65,1
179,144,200,149,55,1
180,144,202,147,30,2
181,146,220,135,68,2
182,147,235,110,56,1
183,147,223,125,120,1
184,147,255,180,5,1
185,147,259,183,42,1
186,147,180,150,25,1
187,147,200,180,50,1
188,148,175,172,65,1
189,148,205,150,20,1
190,148,245,175,65,1
191,148,222,156,30,1
192,148,245,110,67,1
193,148,200,149,55,1
194,149,208,140,18,4
195,150,268,153,55,5
196,150,257,153,56,1
197,152,250,178,10,1
198,152,204,147,30,1
199,152,203,150,25,1
200,152,210,150,38,2
201,154,210,150,65,2
202,154,180,140,60,2
203,154,150,85,50,2
204,154,220,170,45,2
205,154,170,140,40,2
206,156,215,190,70,1
207,160,185,100,55,3
208,160,185,100,55,3
209,161,182,128,29,2
210,161,234,85,31,9
211,161,212,192,50,2
212,161,211,192,52,2
213,162,193,130,48,7
214,162,73,60,25,1
215,166,160,110,39,10
216,167,260,173,50,2
217,168,200,45,45,192
218,169,200,45,45,192
219,172,183,183,30,2
220,173,250,190,52,2
221,175,156,132,75,2
222,175,170,110,60,3
223,175,204,91,41,1
224,176,200,45,45,192
225,177,200,45,45,192
226,180,205,150,20,1
227,180,205,148,38,1
228,180,228,178,22,2
229,180,133,106,53,1
230,180,241,109,64,2
231,180,120,100,40,4
232,180,200,149,55,2
233,180,202,146,12,2
234,182,238,184,60,7
235,184,187,110,110,3
236,185,100,50,30,2
237,186,210,160,55,2
238,186,230,170,48,3
239,188,141,108,58,1
240,188,125,110,70,2
241,188,142,107,59,1
242,189,180,173,110,3
243,189,205,170,60,1
244,189,190,180,110,4
245,191,250,120,35,2
246,191,232,98,40,2
247,192,100,100,65,4
248,192,190,190,33,4
249,192,178,76,70,2
250,194,145,95,95,4
251,195,204,148,38,1
252,195,204,48,15,1
253,195,245,107,65,2
254,195,200,148,50,1
255,195,245,110,67,1
256,195,200,149,55,2
257,195,202,147,30,1
258,196,156,132,75,4
259,196,208,145,105,1
260,196,172,96,56,1
261,196,245,155,70,2
262,197,173,129,129,1
263,197,220,160,45,1
264,199,271,178,147,1
265,199,119,105,90,2
266,202,220,140,45,5
267,203,210,153,40,3
268,208,114,90,55,2
269,209,165,135,40,3
270,209,165,165,45,1
271,210,175,130,130,2
272,211,195,87,87,4
273,213,283,193,53,2
274,214,204,148,38,2
275,214,135,110,53,4
276,214,202,147,30,2
277,215,140,88,88,3
278,216,200,170,45,2
279,216,230,129,59,2
280,217,185,140,60,3
281,217,222,144,40,2
282,217,220,122,70,3
283,217,255,172,23,2
284,217,120,100,40,2
285,219,200,150,45,2
286,219,275,160,50,2
287,219,190,185,35,2
288,219,160,110,39,9
289,219,220,135,55,5
290,220,170,150,60,3
291,220,230,92,62,1
292,220,180,160,31,1
293,222,280,180,85,2
294,222,285,195,95,4
295,224,250,160,110,2
296,226,193,74,74,5
297,227,213,132,60,1
298,227,212,162,49,3
299,228,145,90,65,4
300,229,220,122,62,2
301,232,195,87,87,1
302,232,198,83,83,3
303,233,203,75,75,6
304,236,126,102,51,5
305,237,105,105,70,1
306,237,239,190,55,1
307,237,228,153,65,2
308,237,228,153,65,1
309,237,210,158,65,1
310,237,104,104,72,1
311,238,258,195,157,3
312,241,210,143,35,2
313,241,223,125,120,2
314,242,250,170,39,2
315,244,211,192,95,1
316,244,155,133,40,2
317,245,165,90,90,4
318,245,165,75,55,2
319,246,148,88,34,1
320,246,170,145,45,2
321,246,215,180,55,2
322,246,140,130,45,3
323,248,205,150,20,1
324,248,200,149,55,1
325,249,236,175,47,3
326,251,238,152,60,3
327,253,225,185,60,2
328,254,255,185,63,3
329,255,193,143,40,5
330,256,254,170,51,1
331,256,130,100,50,2
332,256,250,189,35,2
333,256,253,170,30,1
334,256,146,130,48,1
335,256,230,168,28,1
336,256,211,157,32,1
337,256,243,170,50,1
338,256,192,139,21,1
339,256,255,172,23,3
340,256,110,30,210,2
341,257,95,95,95,6
342,259,255,105,53,18
343,260,183,83,44,5
344,262,135,105,105,2
345,263,155,125,45,5
346,263,188,124,50,5
347,263,160,120,40,5
348,263,190,123,45,5
349,263,222,144,100,1
350,263,217,160,37,2
351,264,120,75,75,2
352,264,243,110,77,2
353,265,198,98,58,1
354,265,160,115,53,1
355,265,240,175,75,1
356,265,201,90,40,1
357,265,166,108,71,1
358,265,272,190,56,1
359,265,151,145,110,1
360,265,266,116,96,1
361,266,265,160,150,1
362,267,258,155,28,4
363,268,250,172,40,4
364,269,244,150,60,2
365,269,244,149,52,2
366,270,198,165,40,5
367,271,210,158,50,2
368,271,200,148,50,1
369,271,185,128,35,2
370,271,164,105,65,1
371,271,252,176,68,2
372,272,152,88,88,3
373,273,160,90,90,1
374,274,245,103,37,2
375,274,120,75,75,1
376,274,205,150,60,4
377,275,114,90,55,1
378,276,228,168,42,1
379,279,180,175,40,2
380,279,265,160,150,1
381,279,269,193,81,1
382,279,233,128,28,2
383,279,180,175,55,2
384,279,180,180,40,2
385,282,265,155,70,7
386,283,250,140,45,1
387,283,266,115,96,1
388,285,248,161,103,2
389,287,200,133,40,2
390,288,208,140,18,5
391,290,165,165,45,1
392,294,89,89,88,1
393,294,222,150,29,1
394,294,80,65,65,2
395,294,257,88,30,1
396,294,178,124,25,2
397,294,196,139,43,2
398,294,255,177,55,2
399,295,165,94,45,6
400,296,147,90,90,1
401,298,170,165,95,2
402,302,271,198,63,3
403,303,105,61,20,1
404,303,220,160,45,1
405,304,210,180,40,1
406,304,240,180,75,1
407,305,232,105,63,7
408,307,152,88,88,2
409,308,255,177,55,2
410,308,120,105,60,1
411,309,110,67,67,4
412,309,100,100,80,1
413,310,150,145,50,2
414,310,102,102,27,4
415,310,235,157,23,1
416,310,128,117,50,8
417,310,100,100,30,4
418,310,184,130,42,1
419,312,220,155,30,10
420,312,190,110,55,6
421,312,230,122,70,10
422,314,102,102,65,3
423,314,182,94,82,2
424,315,157,118,63,10
