,0
0,1
1,4
2,-1
3,4
4,4
5,1
6,3
7,4
8,-1
9,1
10,2
11,4
12,4
13,4
14,2
15,4
16,5
17,3
18,-1
19,3
20,-1
21,4
22,5
23,4
24,4
25,4
26,3
27,-1
28,-1
29,4
30,5
31,-1
32,4
33,-1
34,-1
35,-1
36,3
37,-1
38,-1
39,4
40,4
41,-1
42,-1
43,5
44,-1
45,-1
46,4
47,4
48,4
49,3
50,-1
51,-1
52,5
53,4
54,4
55,5
56,-1
57,4
58,1
59,-1
60,4
61,4
62,5
63,3
64,3
65,-1
66,-1
67,-1
68,5
69,-1
70,3
71,3
72,1
73,3
74,5
75,3
76,-1
77,1
78,5
79,2
80,4
81,3
82,4
83,-1
84,-1
85,5
86,2
87,-1
88,4
89,-1
90,-1
91,3
92,3
93,5
94,-1
95,-1
96,-1
97,5
98,-1
99,4
100,5
101,3
102,3
103,-1
104,-1
105,3
106,-1
107,-1
108,1
109,4
110,5
111,-1
112,2
113,4
114,3
115,3
116,4
117,4
118,-1
119,4
120,5
121,4
122,1
123,3
124,1
125,4
126,3
127,4
128,2
129,2
130,2
131,4
132,3
133,-1
134,-1
135,-1
136,-1
137,4
138,3
139,-1
140,4
141,4
142,-1
143,5
144,3
145,3
146,-1
147,4
148,-1
149,4
150,-1
151,5
152,4
153,-1
154,5
155,4
156,3
157,5
158,3
159,4
160,-1
161,4
162,-1
163,4
164,3
165,5
166,-1
167,4
168,-1
169,4
170,5
171,3
172,-1
173,-1
174,-1
175,-1
176,3
177,4
178,3
179,-1
180,4
181,-1
182,-1
183,5
184,4
185,2
186,3
187,3
188,5
189,3
190,4
191,3
192,5
193,-1
194,-1
195,-1
196,4
197,4
198,-1
199,1
200,5
201,-1
202,4
203,4
204,4
205,3
206,1
207,-1
208,5
209,4
210,3
211,3
212,5
213,-1
214,4
215,-1
216,5
217,4
218,5
219,5
220,5
221,4
222,4
223,-1
224,4
225,-1
226,2
227,3
228,5
229,4
230,4
231,-1
232,4
233,4
234,-1
235,1
236,3
237,4
238,3
239,4
240,-1
241,-1
242,4
243,4
244,-1
245,5
246,-1
247,4
248,-1
249,-1
250,5
251,2
252,-1
253,-1
254,5
255,3
256,2
257,4
258,5
259,2
260,-1
261,-1
262,5
263,3
264,-1
265,3
266,3
267,5
268,-1
269,3
270,1
271,1
272,5
273,-1
274,-1
275,4
276,-1
277,-1
278,2
279,4
280,-1
281,4
282,5
283,-1
284,-1
285,5
286,5
287,3
288,-1
289,-1
290,2
291,5
292,4
293,-1
294,5
295,4
296,4
297,-1
298,5
299,2
300,3
301,5
302,-1
303,4
304,4
305,4
306,3
307,4
308,-1
309,-1
310,5
311,-1
312,-1
313,-1
314,4
315,5
316,4
317,4
318,4
319,4
320,-1
321,3
322,-1
