,0,1,2,3,4
0,1,161.5,104.5,25.65,7
1,1,199.5,190.0,28.5,1
2,2,99.75,99.75,95.0,2
3,2,128.25,104.5,104.5,5
4,3,197.6,133.0,17.099999999999998,5
5,3,85.5,85.5,71.25,1
6,5,237.5,180.5,50.349999999999994,3
7,6,133.0,133.0,45.599999999999994,2
8,6,213.75,76.0,33.25,2
9,7,277.4,157.7,82.64999999999999,1
10,7,304.0,228.0,66.5,1
11,8,216.6,140.6,24.7,2
12,9,146.29999999999998,111.14999999999999,19.0,1
13,9,294.5,190.0,52.25,1
14,12,218.5,76.0,19.0,2
15,15,85.5,80.75,23.75,2
16,18,152.0,114.0,38.0,5
17,19,294.5,199.5,112.1,2
18,19,109.25,109.25,47.5,1
19,22,178.6,117.8,47.5,5
20,23,147.25,95.94999999999999,66.5,1
21,23,197.6,134.9,28.5,1
22,23,133.0,124.44999999999999,123.5,1
23,24,242.25,99.75,50.349999999999994,3
24,25,275.5,180.5,57.0,3
25,25,172.9,145.35,23.75,1
26,26,234.64999999999998,166.25,50.349999999999994,2
27,26,237.5,161.5,42.75,1
28,26,281.2,195.7,56.05,1
29,26,160.54999999999998,160.54999999999998,100.69999999999999,2
30,27,277.4,182.39999999999998,40.85,3
31,27,266.0,185.25,28.5,2
32,28,233.7,197.6,38.0,5
33,29,282.15,173.85,115.89999999999999,6
34,30,96.89999999999999,91.19999999999999,45.599999999999994,3
35,33,218.5,76.0,19.0,1
36,33,247.0,74.1,33.25,1
37,33,218.5,123.5,42.75,2
38,36,114.0,104.5,9.5,1
39,36,136.79999999999998,102.6,7.6,1
40,37,128.25,85.5,74.1,4
41,38,114.0,64.6,19.0,3
42,38,135.85,135.85,39.9,1
43,38,207.1,100.69999999999999,33.25,1
44,39,180.5,118.75,87.39999999999999,8
45,40,104.5,95.0,76.0,1
46,40,164.35,122.55,122.55,1
47,41,190.0,128.25,57.0,1
48,41,190.0,128.25,57.0,1
49,41,152.0,109.25,50.349999999999994,1
50,41,150.1,107.35,47.5,1
51,41,150.1,106.39999999999999,47.5,3
52,41,275.5,185.25,66.5,2
53,43,133.0,125.39999999999999,104.5,1
54,43,142.5,76.0,66.5,1
55,43,232.75,128.25,66.5,1
56,44,175.75,133.0,57.0,1
57,44,289.75,199.5,57.0,3
58,44,209.0,66.5,23.75,2
59,44,304.0,90.25,20.9,2
60,44,156.75,66.5,9.5,5
61,44,304.0,90.25,19.0,2
62,44,218.5,133.0,47.5,2
63,44,213.75,125.39999999999999,62.699999999999996,2
64,44,197.6,137.75,99.75,2
65,44,143.45,137.75,104.5,1
66,44,252.7,110.19999999999999,91.19999999999999,2
67,45,218.5,142.5,42.75,3
68,46,231.79999999999998,171.0,106.39999999999999,2
69,48,180.5,118.75,87.39999999999999,8
70,49,171.0,114.0,33.25,3
71,50,131.1,66.5,66.5,2
72,50,167.2,63.65,63.65,2
73,50,188.1,152.95,28.5,2
74,50,244.14999999999998,123.5,76.95,1
75,51,251.75,168.15,42.75,2
76,52,190.0,156.75,52.25,2
77,53,254.6,145.35,57.0,21
78,54,133.0,83.6,83.6,4
79,55,180.5,118.75,87.39999999999999,8
80,56,223.25,221.35,71.25,2
81,57,237.5,171.0,4.75,2
82,57,175.75,142.5,47.5,1
83,60,61.75,57.0,19.0,3
84,61,108.3,72.2,72.2,2
85,62,93.1,66.5,66.5,2
86,64,99.75,99.75,61.75,1
87,64,167.2,116.85,33.25,4
88,64,147.25,95.0,17.099999999999998,2
89,65,243.2,185.25,61.75,2
90,65,223.25,104.5,53.199999999999996,1
91,65,211.85,118.75,114.0,1
92,65,190.0,156.75,55.099999999999994,1
93,65,242.25,171.0,4.75,1
94,65,209.0,70.3,28.5,1
95,65,171.0,142.5,23.75,1
96,66,304.0,216.6,85.5,1
97,66,218.5,38.0,28.5,2
98,66,247.0,218.5,71.25,2
99,66,304.0,218.5,85.5,2
100,67,251.75,180.5,69.35,8
101,67,80.75,57.0,11.399999999999999,20
102,68,166.25,166.25,91.19999999999999,1
103,68,234.64999999999998,146.29999999999998,114.94999999999999,1
104,68,285.0,185.25,61.75,1
105,68,275.5,160.54999999999998,47.5,1
106,68,212.79999999999998,155.79999999999998,9.5,2
107,68,209.0,126.35,66.5,1
108,68,248.89999999999998,169.1,59.849999999999994,1
109,68,199.5,145.35,38.0,2
110,69,218.5,190.0,40.85,2
111,69,199.5,185.25,36.1,2
112,69,209.0,190.0,57.0,3
113,69,223.25,209.0,42.75,3
114,70,226.1,115.89999999999999,69.35,8
115,72,180.5,123.5,123.5,2
116,73,223.25,104.5,53.199999999999996,14
117,74,275.5,190.0,28.5,1
118,74,216.6,161.5,30.4,1
119,74,199.5,152.0,34.199999999999996,1
120,74,185.25,96.89999999999999,38.0,2
121,74,191.89999999999998,139.65,28.5,1
122,75,232.75,101.64999999999999,61.75,1
123,75,241.29999999999998,176.7,48.449999999999996,2
124,80,237.5,163.4,55.099999999999994,1
125,80,149.15,147.25,66.5,2
126,80,152.0,142.5,47.5,3
127,82,180.5,91.19999999999999,57.0,6
128,83,199.5,194.75,67.45,1
129,83,199.5,133.0,66.5,1
130,85,180.5,91.19999999999999,57.0,6
131,86,281.2,234.64999999999998,70.3,10
132,86,152.0,142.5,38.0,5
133,86,237.5,180.5,47.5,2
134,87,192.85,133.0,21.849999999999998,10
135,89,166.25,156.75,133.0,2
136,89,161.5,133.0,123.5,2
137,92,142.5,76.0,64.6,2
138,92,75.05,65.55,61.75,1
139,93,304.0,204.25,34.199999999999996,2
140,98,133.0,82.64999999999999,19.0,3
141,99,123.5,99.75,57.0,2
142,100,221.35,165.29999999999998,49.4,2
143,101,80.75,57.0,11.399999999999999,6
144,101,167.2,139.65,39.9,5
145,104,242.25,168.15,52.25,2
146,105,152.0,103.55,38.0,2
147,105,228.0,190.0,104.5,2
148,107,244.14999999999998,145.35,28.5,2
149,108,275.5,190.0,28.5,1
150,108,232.75,150.1,19.0,2
151,108,118.75,109.25,9.5,1
152,108,209.95,150.1,47.5,1
153,109,294.5,156.75,76.0,2
154,110,251.75,174.79999999999998,19.0,2
155,110,118.75,87.39999999999999,87.39999999999999,2
156,111,197.6,133.0,17.099999999999998,1
157,111,133.0,38.0,9.5,5
158,112,66.5,52.25,19.0,3
159,113,228.0,190.0,76.0,1
160,113,237.5,225.14999999999998,42.75,1
161,114,152.0,76.0,33.25,3
162,115,156.75,81.7,41.8,4
163,116,194.75,137.75,38.0,4
164,117,126.35,108.3,7.6,2
165,119,169.1,123.5,123.5,2
166,120,137.75,86.45,86.45,2
167,120,133.0,66.5,76.0,2
168,122,148.2,147.25,38.0,2
169,122,180.5,99.75,82.64999999999999,2
170,123,247.0,156.75,68.39999999999999,1
171,123,244.14999999999998,145.35,53.199999999999996,1
172,124,213.75,90.25,76.0,4
173,124,213.75,81.7,75.05,2
174,126,213.75,90.25,76.0,2
175,126,213.75,81.7,75.05,3
176,127,288.8,224.2,99.75,4
177,128,251.75,152.0,142.5,1
178,128,289.75,152.0,87.39999999999999,1
179,129,199.5,150.1,47.5,2
180,129,242.25,177.65,52.25,2
181,130,126.35,100.69999999999999,50.349999999999994,1
182,130,185.25,136.79999999999998,40.85,1
183,130,228.0,104.5,57.0,2
184,130,114.0,99.75,52.25,2
185,130,180.5,137.75,47.5,2
186,130,224.2,163.4,52.25,1
187,131,137.75,90.25,90.25,4
188,132,204.25,57.0,57.0,3
189,132,152.0,110.19999999999999,47.5,4
190,132,123.5,123.5,43.699999999999996,1
191,133,228.0,190.0,106.39999999999999,2
192,134,275.5,201.39999999999998,133.95,1
193,134,296.4,209.95,95.0,1
194,134,285.0,185.25,122.55,1
195,134,275.5,185.25,57.0,1
