,name
0,1
1,1
2,1
3,1
4,4
5,5
6,3
7,4
8,5
9,4
10,4
11,4
12,5
13,4
14,1
15,5
16,5
17,3
18,5
19,5
20,3
21,2
22,2
23,3
24,4
25,4
26,5
27,4
28,4
29,5
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,5
38,5
39,5
40,5
41,5
42,5
43,2
44,1
45,4
46,1
47,4
48,2
49,1
50,4
51,4
52,4
53,4
54,3
55,3
56,1
57,2
58,2
59,1
60,4
61,4
62,1
63,1
64,1
65,4
66,3
67,5
68,3
69,5
70,5
71,5
72,4
73,4
74,5
75,5
76,4
77,4
78,4
79,4
80,2
81,1
82,2
83,4
84,3
85,4
86,3
87,5
88,5
89,5
90,5
91,5
92,4
93,4
94,3
95,4
96,4
97,4
98,4
99,2
100,4
101,1
102,2
103,2
104,1
105,1
106,2
107,2
108,4
109,4
110,5
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,2
121,5
122,5
123,4
124,4
125,5
126,4
127,4
128,5
129,5
130,4
131,4
132,3
133,3
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,2
143,2
144,5
145,3
146,2
147,2
148,4
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,4
160,2
161,2
162,2
163,4
164,4
165,2
166,2
167,3
168,4
169,4
170,4
171,2
172,3
173,3
174,3
175,3
176,2
177,2
178,5
179,1
180,2
181,4
182,4
183,4
184,2
185,4
186,4
187,5
188,5
189,4
190,4
191,4
192,5
193,3
194,4
195,2
196,1
197,4
198,2
199,1
200,1
201,1
202,1
203,1
204,3
205,1
206,3
207,3
208,3
209,4
210,3
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,5
220,5
221,5
222,3
223,5
224,4
225,3
226,1
227,1
228,1
229,1
230,1
231,2
232,2
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,4
242,4
243,4
244,3
245,4
246,4
247,5
248,4
249,5
250,2
251,4
252,4
253,3
254,3
255,3
256,3
257,3
258,5
259,5
260,2
261,2
262,2
263,4
264,2
265,2
266,5
267,2
268,2
269,4
270,4
271,4
272,2
273,5
274,4
275,4
276,2
277,4
278,2
279,4
280,2
281,2
282,4
283,3
284,2
285,5
286,5
287,4
288,4
289,5
290,3
291,3
292,1
293,5
294,4
295,4
296,4
297,3
298,5
299,5
300,3
301,1
302,1
303,1
304,1
305,4
306,4
307,5
308,5
309,5
310,5
311,5
312,5
313,4
314,4
315,5
316,5
317,5
318,5
319,5
320,5
321,4
322,4
323,4
324,5
325,5
326,1
327,1
328,1
329,5
330,2
331,4
332,4
333,5
334,5
335,5
336,5
337,5
338,5
339,4
340,4
341,5
342,5
343,5
344,5
345,5
346,5
347,4
348,4
349,2
350,3
351,4
352,2
353,1
354,4
355,5
356,5
357,4
358,5
359,1
360,5
361,4
362,2
363,2
364,5
365,5
366,5
367,4
368,4
369,4
370,4
371,2
372,4
373,2
374,4
375,4
376,3
377,3
378,2
379,4
380,4
381,4
382,5
383,1
384,4
385,4
386,3
387,3
388,5
389,3
390,4
391,2
392,3
393,4
394,4
395,1
396,4
397,4
398,5
399,5
400,5
401,5
402,4
403,4
404,5
405,3
406,3
407,3
408,4
409,3
410,4
411,4
412,2
413,2
414,2
415,2
416,4
417,5
418,5
419,4
420,5
421,4
422,5
423,4
424,4
425,3
426,5
427,5
428,3
429,4
430,1
431,3
432,2
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,5
442,2
443,2
444,2
445,3
446,3
447,2
448,2
449,2
450,2
451,4
452,3
453,2
454,2
455,2
456,3
457,5
458,2
459,4
460,5
461,5
462,5
463,5
464,5
465,5
466,5
467,5
468,2
469,5
470,5
471,4
472,4
473,4
474,2
475,2
476,3
477,3
478,3
479,1
480,4
481,4
482,2
483,4
484,4
485,5
486,4
487,4
488,4
489,4
490,5
491,3
492,2
493,5
494,2
495,4
496,4
497,4
498,5
499,5
500,5
501,4
502,4
503,4
504,3
505,3
506,3
507,3
508,3
509,3
510,1
511,5
512,4
513,2
514,4
515,1
516,5
517,3
518,5
519,5
520,4
521,4
522,4
523,4
524,5
525,5
526,3
527,3
528,3
529,5
530,4
531,4
532,3
533,5
534,4
535,5
536,5
537,5
538,5
539,5
540,5
541,5
542,5
543,5
544,4
545,5
546,5
547,4
548,4
549,4
550,5
551,4
552,4
553,4
554,2
555,2
556,5
557,3
558,5
559,5
560,1
561,4
562,4
563,2
564,3
565,3
566,1
567,5
568,3
569,3
570,3
571,4
572,4
573,4
574,3
575,4
576,4
577,4
578,4
579,4
580,4
581,5
582,5
583,5
584,5
585,5
586,3
587,1
588,4
589,4
590,2
591,3
592,3
593,3
594,2
595,1
596,4
597,5
598,5
599,5
600,3
601,3
602,3
603,4
604,3
605,2
606,3
607,3
608,3
609,2
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,1
619,1
620,5
621,5
622,5
623,5
624,5
625,5
626,5
627,5
628,5
629,5
630,5
631,5
632,5
633,5
634,5
635,5
636,5
637,5
638,4
639,4
640,4
641,4
642,4
643,5
644,5
645,2
646,2
647,3
648,3
649,4
650,5
651,5
652,4
653,4
654,4
655,3
656,3
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,3
666,3
667,5
668,4
669,4
670,1
671,3
672,3
673,2
674,5
675,3
676,3
677,3
678,4
679,2
680,2
681,5
682,5
683,5
684,5
685,4
686,3
687,2
688,3
689,3
690,5
691,5
692,5
693,5
694,5
695,5
696,5
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,2
714,2
715,5
716,5
717,5
718,5
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,3
731,3
732,2
733,4
734,4
735,2
736,2
737,4
738,4
739,2
740,2
741,2
742,1
743,2
744,2
745,5
746,4
747,4
748,4
749,2
750,4
751,1
752,5
753,5
754,4
755,4
756,5
757,5
758,4
759,4
760,5
761,4
762,2
763,4
764,2
765,2
766,4
767,5
768,5
769,4
770,4
771,4
772,5
773,5
774,5
775,5
776,5
777,3
778,5
779,5
780,5
781,5
782,5
783,5
784,5
785,5
786,5
787,5
788,5
789,5
790,5
791,5
792,5
793,5
794,5
795,5
796,5
797,5
798,5
799,4
800,4
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,5
